Meta;Sentence;Tokens;Lemmas;POS
Письмо двенадцатое. ЧЕЛОВЕК ДОЛЖЕН БЫТЬ ИНТЕЛЛИГЕНТЕН;Будем долголетни, как люди и как народ!;Будем долголетни , как люди и как народ !;быть долголетний , как человек и как народ !;AUX ADJ PUNCT SCONJ NOUN CCONJ SCONJ NOUN PUNCT
Письмо двенадцатое. ЧЕЛОВЕК ДОЛЖЕН БЫТЬ ИНТЕЛЛИГЕНТЕН;А почитание отца и матери следует понимать широко – как почитание всего нашего лучшего в прошлом, в прошлом, которое является отцом и матерью нашей современности, великой современности, принадлежать к которой – великое счастье.;А почитание отца и матери следует понимать широко – как почитание всего нашего лучшего в прошлом , в прошлом , которое является отцом и матерью нашей современности , великой современности , принадлежать к которой – великое счастье .;а почитание отец и мать следовать понимать широко – как почитание весь наш лучший в прошлое , в прошлое , который являться отец и мать нашей современность , великой современность , принадлежать к который – великий счастье .;CCONJ NOUN NOUN CCONJ NOUN VERB VERB ADV PUNCT SCONJ NOUN DET DET ADJ ADP NOUN PUNCT ADP NOUN PUNCT PRON VERB NOUN CCONJ NOUN ADJ NOUN PUNCT ADJ NOUN PUNCT VERB ADP PRON PUNCT ADJ NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Получить хорошее воспитание можно не только в своей семье или в школе, но и… у самого себя.;Получить хорошее воспитание можно не только в своей семье или в школе , но и … у самого себя .;получить хороший воспитание можно не только в свой семья или в школа , но и … у сам себя .;VERB ADJ NOUN ADV PART PART ADP DET NOUN CCONJ ADP NOUN PUNCT CCONJ PART PUNCT ADP ADJ PRON PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Надо только знать, что такое настоящая воспитанность.;Надо только знать , что такое настоящая воспитанность .;надо только знать , что такой настоящий воспитанность .;ADV PART VERB PUNCT PRON DET ADJ NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Я не берусь давать «рецепты» воспитанности, так как сам себя вовсе не считаю образцово воспитанным.;Я не берусь давать « рецепты » воспитанности , так как сам себя вовсе не считаю образцово воспитанным .;"я не браться давать "" рецепт "" воспитанность , так как сам себя вовсе не считать образцово воспитать .";PRON PART VERB VERB PUNCT NOUN PUNCT NOUN PUNCT ADV SCONJ ADJ PRON ADV PART VERB ADV VERB PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Но кое-какими мыслями я хотел бы поделиться с читателями.;Но кое-какими мыслями я хотел бы поделиться с читателями .;но кое-какой мысль я хотеть бы делиться с читатель .;CCONJ DET NOUN PRON VERB AUX VERB ADP NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Я убежден, например, что настоящая воспитанность проявляется прежде всего у себя дома, в своей семье, в отношениях со своими родными.;Я убежден , например , что настоящая воспитанность проявляется прежде всего у себя дома , в своей семье , в отношениях со своими родными .;я убежденный , например , что настоящий воспитанность проявляться прежде все у себя дома , в свой семья , в отношение с свой родные .;PRON ADJ PUNCT ADV PUNCT SCONJ ADJ NOUN VERB ADP PRON ADP PRON ADV PUNCT ADP DET NOUN PUNCT ADP NOUN ADP DET ADJ PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Если мужчина на улице пропускает вперед себя незнакомую женщину (даже в автобусе!) и даже открывает ей дверь, а дома не поможет усталой жене вымыть посуду, – он невоспитанный человек.;Если мужчина на улице пропускает вперед себя незнакомую женщину ( даже в автобусе ! ) и даже открывает ей дверь , а дома не поможет усталой жене вымыть посуду , – он невоспитанныи ̆ человек .;если мужчина на улица пропускать вперед себя незнакомый женщина ( даже в автобус ! ) и даже открывать ейый дверь , а дома не помочь усталойь жена вымыть посуда , – он невоспитанный ̆ человек .;SCONJ NOUN ADP NOUN VERB ADV PRON ADJ NOUN PUNCT PART ADP NOUN PUNCT PUNCT CCONJ PART VERB ADJ NOUN PUNCT CCONJ ADV PART VERB ADJ NOUN VERB NOUN PUNCT PUNCT PRON ADJ PUNCT NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Если со знакомыми он вежлив, а с домашними раздражается по каждому поводу, – он невоспитанный человек.;Если со знакомыми он вежлив , а с домашними раздражается по каждому поводу , – он невоспитанныи ̆ человек .;если с знакомый он вежлий , а с домашний раздражаться по каждый повод , – он невоспитанный ̆ человек .;SCONJ ADP NOUN PRON ADJ PUNCT CCONJ ADP ADJ VERB ADP DET NOUN PUNCT PUNCT PRON ADJ PUNCT NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Если он не считается с характером, психологией, привычками и желаниями своих близких, – он невоспитанный человек.;Если он не считается с характером , психологией , привычками и желаниями своих близких , – он невоспитанныи ̆ человек .;если он не считать с характер , психологией , привычка и желание свой близкий , – он невоспитанный ̆ человек .;SCONJ PRON PART VERB ADP NOUN PUNCT NOUN PUNCT NOUN CCONJ NOUN DET ADJ PUNCT PUNCT PRON ADJ PUNCT NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Если уже во взрослом состоянии он как должное принимает помощь родителей и не замечает, что они сами уже нуждаются в помощи, – он невоспитанный человек.;Если уже во взрослом состоянии он как должное принимает помощь родителеи ̆ и не замечает , что они сами уже нуждаются в помощи , – он невоспитанныи ̆ человек .;если уже в взрослый состояние он как должное принимать помощь родитель ̆ и не замечать , что они сам уже нуждаться в помощь , – он невоспитанный ̆ человек .;SCONJ ADV ADP ADJ NOUN PRON SCONJ NOUN VERB NOUN NOUN PUNCT CCONJ PART VERB PUNCT SCONJ PRON ADJ ADV VERB ADP NOUN PUNCT PUNCT PRON ADJ PUNCT NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Если он громко заводит радио и телевизор или просто громко разговаривает, когда кто-то дома готовит уроки или читает (пусть это будут даже его маленькие дети), – он невоспитанный человек и никогда не сделает воспитанными своих детей.;Если он громко заводит радио и телевизор или просто громко разговаривает , когда кто-то дома готовит уроки или читает ( пусть это будут даже его маленькие дети ) , – он невоспитанныи ̆ человек и никогда не сделает воспитанными своих детей .;если он громко заводить радио и телевизор или просто громко разговаривать , когда кто-то дома готовить урок или читать ( пусть это быть даже его маленький ребенок ) , – он невоспитанный ̆ человек и никогда не делать воспитать свой детей .;SCONJ PRON ADV VERB NOUN CCONJ NOUN CCONJ PART ADV VERB PUNCT SCONJ PRON ADV VERB NOUN CCONJ VERB PUNCT PART PRON AUX PART DET ADJ NOUN PUNCT PUNCT PUNCT PRON ADJ PUNCT NOUN CCONJ ADV PART VERB VERB DET NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Если он любит трунить (шутить) над женой или детьми, не щадя их самолюбия, особенно при посторонних, то тут уже он (извините меня!) просто глуп.;Если он любит трунить ( шутить ) над женой или детьми , не щадя их самолюбия , особенно при посторонних , то тут уже он ( извините меня ! ) просто глуп .;если он любить трунить ( шутить ) над женой или ребенок , не щадить их самолюбия , особенно при посторонний , то тут уже он ( извинить я ! ) просто глупый .;SCONJ PRON VERB VERB PUNCT VERB PUNCT ADP NOUN CCONJ NOUN PUNCT PART VERB DET NOUN PUNCT ADV ADP ADJ PUNCT SCONJ ADV ADV PRON PUNCT VERB PRON PUNCT PUNCT PART ADJ PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Воспитанный человек – это тот, кто хочет и умеет считаться с другими, это тот, кому собственная вежливость не только привычна и легка, но и приятна.;Воспитанныи ̆ человек – это тот , кто хочет и умеет считаться с другими , это тот , кому собственная вежливость не только привычна и легка , но и приятна .;воспитать ̆ человек – это тот , кто хотеть и уметь считать с другой , это тот , кто собственный вежливость не только привычный и легкий , но и приятный .;VERB PUNCT NOUN PUNCT PRON DET PUNCT PRON VERB CCONJ VERB VERB ADP ADJ PUNCT PRON DET PUNCT PRON ADJ NOUN PART PART ADJ CCONJ ADJ PUNCT CCONJ PART ADJ PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Это тот, кто в равной степени вежлив и со старшим и с младшим годами и по положению.;Это тот , кто в равной степени вежлив и со старшим и с младшим годами и по положению .;это тот , кто в равный степень вежлий и с старший и с младший год и по положение .;PRON DET PUNCT PRON ADP ADJ NOUN ADJ CCONJ ADP ADJ CCONJ ADP ADJ NOUN CCONJ ADP NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Воспитанный человек во всех отношениях не ведет себя «громко», экономит время других («Точность – вежливость королей» – говорит поговорка), строго выполняет данные другим обещания, не важничает, не «задирает нос» и всегда один и тот же – дома, в школе, в институте, на работе, в магазине и в автобусе.;Воспитанныи ̆ человек во всех отношениях не ведет себя « громко » , экономит время других ( « Точность – вежливость королей » – говорит поговорка ) , строго выполняет данные другим обещания , не важничает , не « задирает нос » и всегда один и тот же – дома , в школе , в институте , на работе , в магазине и в автобусе .;"воспитать ̆ человек в весь отношение не вести себя "" громко "" , экономить время другой ( "" точность – вежливость королей "" – говорить поговорка ) , строго выполнять данные другой обещание , не важничать , не "" задирать нос "" и всегда один и тот же – дома , в школа , в институт , на работа , в магазин и в автобус .";VERB PUNCT NOUN ADP DET NOUN PART VERB PRON PUNCT ADV PUNCT PUNCT VERB NOUN ADJ PUNCT PUNCT NOUN PUNCT NOUN NOUN PUNCT PUNCT VERB NOUN PUNCT PUNCT ADV VERB NOUN ADJ NOUN PUNCT PART VERB PUNCT PART PUNCT VERB NOUN PUNCT CCONJ ADV DET CCONJ DET PART PUNCT ADV PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Читатель заметил, вероятно, что я обращаюсь главным образом к мужчине, к главе семьи.;Читатель заметил , вероятно , что я обращаюсь главным образом к мужчине , к главе семьи .;читатель заметить , вероятный , что я обращаться главный образ к мужчина , к глава семья .;NOUN VERB PUNCT ADJ PUNCT SCONJ PRON VERB ADJ NOUN ADP NOUN PUNCT ADP NOUN NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Это потому, что женщине действительно нужно уступать дорогу… не только в дверях.;Это потому , что женщине действительно нужно уступать дорогу … не только в дверях .;это потому , что женщина действительно нужный уступать дорога … не только в дверь .;PRON ADV PUNCT SCONJ NOUN ADV ADJ VERB NOUN PUNCT PART PART ADP NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Но умная женщина легко поймет, что именно надо делать, чтобы, всегда и с признательностью принимая от мужчины данное ей природой право, как можно меньше заставлять мужчину уступать ей первенство.;Но умная женщина легко поймет , что именно надо делать , чтобы , всегда и с признательностью принимая от мужчины данное ей природой право , как можно меньше заставлять мужчину уступать ей первенство .;но умный женщина легко пойять , что именно надо делать , чтобы , всегда и с признательность принимать от мужчина данный ейа природойь право , как можно мало заставлять мужчина уступать оно первенство .;CCONJ ADJ NOUN ADV VERB PUNCT PRON PART ADV VERB PUNCT SCONJ PUNCT ADV CCONJ ADP NOUN VERB ADP NOUN ADJ DET ADJ NOUN PUNCT ADV ADV ADV VERB NOUN VERB PRON NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;А это гораздо труднее!;А это гораздо труднее !;а это гораздо трудный !;CCONJ PRON ADV ADJ PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Поэтому-то природа позаботилась, чтобы женщины в массе своей (я не говорю об исключениях) были наделены большим чувством такта и большей природной вежливостью, чем мужчины...;Поэтому- то природа позаботилась , чтобы женщины в массе своей ( я не говорю об исключениях ) были наделены большим чувством такта и большей природной вежливостью , чем мужчины . . .;поэтому- то природа позаботиться , чтобы женщина в масса свой ( я не говорить о исключение ) быть наделить большой чувство такт и большой природнойь вежливость , чем мужчина . . .;CCONJ SCONJ NOUN VERB PUNCT SCONJ NOUN ADP NOUN DET PUNCT PRON PART VERB ADP NOUN PUNCT AUX VERB ADJ NOUN NOUN CCONJ ADJ ADJ NOUN PUNCT SCONJ NOUN PUNCT PUNCT PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Есть много книг о «хороших манерах».;Есть много книг о « хороших манерах » .;"быть много книга о "" хороший манера "" .";VERB NUM NOUN ADP PUNCT ADJ NOUN PUNCT PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Эти книги объясняют, как держать себя в обществе, в гостях и дома, в театре, на работе, со старшими и младшими, как говорить, не оскорбляя слуха, и одеваться, не оскорбляя зрение окружающих.;Эти книги объясняют , как держать себя в обществе , в гостях и дома , в театре , на работе , со старшими и младшими , как говорить , не оскорбляя слуха , и одеваться , не оскорбляя зрение окружающих .;этот книга объяснять , как держать себя в общество , в гость и дома , в театр , на работа , с старший и младший , как говорить , не оскорблять слух , и одеваться , не оскорблять зрение окружающие .;DET NOUN VERB PUNCT ADV VERB PRON ADP NOUN PUNCT ADP NOUN CCONJ ADV PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP ADJ CCONJ ADJ PUNCT ADV VERB PUNCT PART VERB NOUN PUNCT CCONJ VERB PUNCT PART VERB NOUN NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Но люди, к сожалению, мало черпают из этих книг.;Но люди , к сожалению , мало черпают из этих книг .;но человек , к сожаление , мало черпать из этот книга .;CCONJ NOUN PUNCT ADP NOUN PUNCT ADV VERB ADP DET NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Происходит это, я думаю, потому, что в книгах о хороших манерах редко объясняется, зачем нужны хорошие манеры.;Происходит это , я думаю , потому , что в книгах о хороших манерах редко объясняется , зачем нужны хорошие манеры .;происходить это , я думать , потому , что в книга о хороший манера редко объяснять , зачем нужный хороший манера .;VERB PRON PUNCT PRON VERB PUNCT ADV PUNCT SCONJ ADP NOUN ADP ADJ NOUN ADV VERB PUNCT ADV ADJ ADJ NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Кажется: иметь хорошие манеры фальшиво, скучно, ненужно.;Кажется : иметь хорошие манеры фальшиво , скучно , ненужно .;казаться : иметь хороший манера фальшивый , скучный , ненужный .;VERB PUNCT VERB ADJ NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Человек хорошими манерами и в самом деле может прикрыть дурные поступки.;Человек хорошими манерами и в самом деле может прикрыть дурные поступки .;человек хороший манера и в самый дело мочь прикрыть дурной поступок .;NOUN ADJ NOUN CCONJ ADP ADJ NOUN VERB VERB ADJ NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Да, хорошие манеры могут быть очень внешними, но в целом хорошие манеры созданы опытом множества поколений и знаменуют многовековое стремление людей быть лучше, жить удобнее и красивее.;Да , хорошие манеры могут быть очень внешними , но в целом хорошие манеры созданы опытом множества поколении ̆ и знаменуют многовековое стремление людеи ̆ быть лучше , жить удобнее и красивее .;да , хороший манера мочь быть очень внешний , но в целое хороший манера создать опыт множество поколение ̆ и знаменовать многовековой стремление людей ̆ быть хороший , жить удобный и красивый .;PART PUNCT ADJ NOUN VERB AUX ADV ADJ PUNCT CCONJ ADP NOUN ADJ NOUN VERB NOUN NOUN NOUN PUNCT CCONJ VERB ADJ NOUN NOUN PUNCT AUX ADJ PUNCT VERB ADJ CCONJ ADJ PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;В чем же дело?;В чем же дело ?;в что же дело ?;ADP PRON PART NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Что лежит в основе руководства для приобретения хороших манер?;Что лежит в основе руководства для приобретения хороших манер ?;что лежать в основа руководство для приобретение хороший манер ?;PRON VERB ADP NOUN NOUN ADP NOUN ADJ NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Простое ли это собрание правил, «рецептов» поведения, наставлений, которые трудно запомнить все?;Простое ли это собрание правил , « рецептов » поведения , наставлении ̆ , которые трудно запомнить все ?;"простой ли это собрание правило , "" рецепт "" поведение , наставление ̆ , который трудный запомнить все ?";ADJ PART PRON NOUN NOUN PUNCT PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT PUNCT PRON ADJ VERB PRON PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;В основе всех хороших манер лежит забота-забота о том, чтобы человек не мешал человеку, чтобы все вместе чувствовали бы себя хорошо.;В основе всех хороших манер лежит забота - забота о том , чтобы человек не мешал человеку , чтобы все вместе чувствовали бы себя хорошо .;в основа весь хороший манер лежать забота - забота о то , чтобы человек не мешать человек , чтобы все вместе чувствовать бы себя хорошо .;ADP NOUN DET ADJ NOUN VERB NOUN PUNCT NOUN ADP PRON PUNCT SCONJ NOUN PART VERB NOUN PUNCT SCONJ PRON ADV VERB AUX PRON ADV PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Надо уметь не мешать друг другу.;Надо уметь не мешать друг другу .;надо уметь не мешать друг друг .;ADV VERB PART VERB NOUN NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Поэтому не надо шуметь.;Поэтому не надо шуметь .;поэтому не надо шуметь .;ADV PART ADV VERB PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;От шума не заткнешь уши – вряд ли это во всех случаях и возможно.;От шума не заткнешь уши – вряд ли это во всех случаях и возможно .;от шум не заткнуть ухо – вряд ли это в весь случай и возможный .;ADP NOUN PART VERB NOUN PUNCT ADV PART PRON ADP DET NOUN CCONJ ADJ PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Например, за столом во время еды.;Например , за столом во время еды .;например , за стол в время еда .;ADV PUNCT ADP NOUN ADP NOUN NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Поэтому не надо чавкать, не надо звонко класть вилку на тарелку, с шумом втягивать в себя суп, громко говорить за обедом или говорить с набитым ртом, чтобы у соседей не было опасений.;Поэтому не надо чавкать , не надо звонко класть вилку на тарелку , с шумом втягивать в себя суп , громко говорить за обедом или говорить с набитым ртом , чтобы у соседей не было опасении ̆ .;поэтому не надо чавкать , не надо звонко класть вилка на тарелка , с шум втягивать в себя суп , громко говорить за обед или говорить с набить рот , чтобы у соседей не быть опасение ̆ .;ADV PART ADV VERB PUNCT PART ADV ADV VERB NOUN ADP NOUN PUNCT ADP NOUN VERB ADP PRON NOUN PUNCT ADV VERB ADP NOUN CCONJ VERB ADP VERB NOUN PUNCT SCONJ ADP NOUN PART VERB NOUN PUNCT PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;И не надо класть локти на стол – опять-таки чтобы не мешать соседу.;И не надо класть локти на стол – опять -таки чтобы не мешать соседу .;и не надо класть локоть на стол – опять -таки чтобы не мешать сосед .;CCONJ PART ADV VERB NOUN ADP NOUN PUNCT ADV PART SCONJ PART VERB NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Быть опрятно одетым надо потому, что в этом сказывается уважение к другим – к гостям, к хозяевам или просто к прохожим: на вас не должно быть противно смотреть.;Быть опрятно одетым надо потому , что в этом сказывается уважение к другим – к гостям , к хозяевам или просто к прохожим : на вас не должно быть противно смотреть .;быть опрятно одеть надо потому , что в это сказываться уважение к другой – к гость , к хозяин или просто к прохожий : на вы не должен быть противный смотреть .;AUX ADV VERB ADV ADV PUNCT SCONJ ADP PRON VERB NOUN ADP ADJ PUNCT ADP NOUN PUNCT ADP NOUN CCONJ PART ADP NOUN PUNCT ADP PRON PART ADJ AUX ADJ VERB PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Не надо утомлять соседей беспрерывными шутками, остротами и анекдотами,особенно такими, которые уже были кем-то рассказаны вашим слушателям.;Не надо утомлять соседей беспрерывными шутками , остротами и анекдотами , особенно такими , которые уже были кем-то рассказаны вашим слушателям .;не надо утомлять соседей беспрерывный шутка , острота и анекдот , особенно такой , который уже быть кто-то рассказать ваш слушатель .;PART ADV VERB NOUN ADJ NOUN PUNCT NOUN CCONJ NOUN PUNCT ADV DET PUNCT PRON ADV AUX PRON VERB DET NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Этим вы ставите слушателей в неловкое положение.;Этим вы ставите слушателеи ̆ в неловкое положение .;это вы ставить слушатель ̆ в неловкий положение .;PRON PRON VERB NOUN PUNCT ADP ADJ NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Старайтесь не только сами развлекать других, но и позволяйте другим что-то рассказать.;Старайтесь не только сами развлекать других , но и позволяйте другим что-то рассказать .;стараться не только сам развлекать другой , но и позволять другой что-то рассказать .;VERB PART PART ADJ VERB ADJ PUNCT CCONJ PART VERB ADJ PRON VERB PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Манеры, одежда, походка, все поведение должно быть сдержанным и… красивым.;Манеры , одежда , походка , все поведение должно быть сдержанным и … красивым .;манера , одежда , походка , весь поведение должен быть сдержанный и … красивый .;NOUN PUNCT NOUN PUNCT NOUN PUNCT DET NOUN ADJ AUX ADJ CCONJ PUNCT ADJ PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Ибо любая красота не утомляет.;Ибо любая красота не утомляет .;ибо любой красота не утомлять .;SCONJ DET NOUN PART VERB PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Она «социальна».;Она « социальна » .;"она "" социальный "" .";PRON PUNCT ADJ PUNCT PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;"И в так
называемых хороших манерах есть всегда глубокий смысл.";И в так называемых хороших манерах есть всегда глубокии ̆ смысл .;и в так называть хороший манера быть всегда глубокий ̆ смысл .;CCONJ ADP ADV VERB ADJ NOUN VERB ADV ADJ PUNCT NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Не думайте, что хорошие манеры – это только манеры, то есть нечто поверхностное.;Не думайте , что хорошие манеры – это только манеры , то есть нечто поверхностное .;не думать , что хороший манера – это только манера , то быть нечто поверхностный .;PART VERB PUNCT SCONJ ADJ NOUN PUNCT PRON PART NOUN PUNCT PRON VERB PRON ADJ PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Своим поведением вы выявляете свою суть.;Своим поведением вы выявляете свою суть .;свой поведение вы выявлять свой суть .;DET NOUN PRON VERB DET NOUN PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;Воспитывать в себе нужно не столько манеры, сколько то, что выражается в манерах, бережное отношение к миру: к обществу, к природе, к животным и птицам, к растениям, к красоте местности, к прошлому тех мест, где живешь, и т.д.;Воспитывать в себе нужно не столько манеры , сколько то , что выражается в манерах , бережное отношение к миру : к обществу , к природе , к животным и птицам , к растениям , к красоте местности , к прошлому тех мест , где живешь , и т. д.;воспитывать в себя нужный не столько манера , сколько то , что выражаться в манера , бережный отношение к мир : к общество , к природа , к животное и птица , к растение , к красота местность , к прошлое тот место , где жить , и так далее;VERB ADP PRON ADJ PART SCONJ NOUN PUNCT SCONJ PRON PUNCT PRON VERB ADP NOUN PUNCT ADJ NOUN ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ NOUN PUNCT ADP NOUN PUNCT ADP NOUN NOUN PUNCT ADP NOUN DET NOUN PUNCT ADV VERB PUNCT CCONJ ADV ADV
Письмо тринадцатое. О ВОСПИТАННОСТИ;Надо не запоминать сотни правил, а запомнить одно – необходимость уважительного отношения к другим.;Надо не запоминать сотни правил , а запомнить одно – необходимость уважительного отношения к другим .;надо не запоминать сотня правило , а запомнить один – необходимость уважительный отношение к другой .;ADV PART VERB NOUN NOUN PUNCT CCONJ VERB NUM PUNCT NOUN ADJ NOUN ADP ADJ PUNCT
Письмо тринадцатое. О ВОСПИТАННОСТИ;А если у вас будет это и еще немного находчивости, то манеры сами придут к вам или, лучше сказать, придет память на правила хорошего поведения, желание и умение их применить.;А если у вас будет это и еще немного находчивости , то манеры сами придут к вам или , лучше сказать , придет память на правила хорошего поведения , желание и умение их применить .;а если у вы быть это и еще немного находчивость , то манера сам прийти к вы или , хороший сказать , прийти память на правило хороший поведение , желание и умение они применить .;CCONJ SCONJ ADP PRON AUX PRON CCONJ ADV ADV NOUN PUNCT SCONJ NOUN ADJ VERB ADP PRON CCONJ PUNCT ADJ VERB PUNCT VERB NOUN ADP NOUN ADJ NOUN PUNCT NOUN CCONJ NOUN PRON VERB PUNCT
Письмо четырнадцатое. О ДУРНЫХ И ХОРОШИХ ВЛИЯНИЯХ;В жизни каждого человека есть любопытное возрастное явление: сторонние влияния.;В жизни каждого человека есть любопытное возрастное явление : сторонние влияния .;в жизнь каждый человек быть любопытный возрастной явление : сторонний влияние .;ADP NOUN DET NOUN VERB ADJ ADJ NOUN PUNCT ADJ NOUN PUNCT
Письмо четырнадцатое. О ДУРНЫХ И ХОРОШИХ ВЛИЯНИЯХ;Эти сторонние влияния обычно бывают чрезвычайно сильными, когда юноша или девушка начинают становиться взрослыми – на переломе.;Эти сторонние влияния обычно бывают чрезвычайно сильными , когда юноша или девушка начинают становиться взрослыми – на переломе .;этот сторонний влияние обычно бывать чрезвычайно сильный , когда юноша или девушка начинать становиться взрослый – на перелом .;DET ADJ NOUN ADV VERB ADV ADJ PUNCT SCONJ NOUN CCONJ NOUN VERB VERB NOUN PUNCT ADP NOUN PUNCT
Письмо четырнадцатое. О ДУРНЫХ И ХОРОШИХ ВЛИЯНИЯХ;Потом сила этих влияний проходит.;Потом сила этих влиянии ̆ проходит .;потом сила этот влияние ̆ проходить .;ADV NOUN DET NOUN PUNCT VERB PUNCT
Письмо четырнадцатое. О ДУРНЫХ И ХОРОШИХ ВЛИЯНИЯХ;Но о влияниях, их «патологии», а иногда и нормальности надо помнить юношам и девушкам.;Но о влияниях , их « патологии » , а иногда и нормальности надо помнить юношам и девушкам .;"но о влияние , их "" патология "" , а иногда и нормальность надо помнить юноша и девушка .";CCONJ ADP NOUN PUNCT DET PUNCT NOUN PUNCT PUNCT CCONJ ADV PART NOUN ADV VERB NOUN CCONJ NOUN PUNCT
Письмо четырнадцатое. О ДУРНЫХ И ХОРОШИХ ВЛИЯНИЯХ;Может быть, тут и нет особой патологии: просто подрастающему человеку, мальчику или девочке, хочется поскорее стать взрослым, самостоятельным.;Может быть , тут и нет особой патологии : просто подрастающему человеку , мальчику или девочке , хочется поскорее стать взрослым , самостоятельным .;мочь быть , тут и нет особойый патология : просто подрастать человек , мальчик или девочка , хотеться скоро стать взрослый , самостоятельный .;VERB VERB PUNCT ADV PART VERB ADJ NOUN PUNCT PART VERB NOUN PUNCT NOUN CCONJ NOUN PUNCT VERB ADV VERB ADJ PUNCT ADJ PUNCT
Письмо четырнадцатое. О ДУРНЫХ И ХОРОШИХ ВЛИЯНИЯХ;Но, становясь самостоятельными, они стремятся освободиться прежде всего от влияния своей семьи.;Но , становясь самостоятельными , они стремятся освободиться прежде всего от влияния своей семьи .;но , становиться самостоятельный , они стремиться освободиться прежде все от влияние свой семья .;CCONJ PUNCT VERB ADJ PUNCT PRON VERB VERB ADP PRON ADP NOUN DET NOUN PUNCT
Письмо четырнадцатое. О ДУРНЫХ И ХОРОШИХ ВЛИЯНИЯХ;Со своей семьей связаны представления об их «детскости».;Со своей семьеи ̆ связаны представления об их « детскости » .;"с свой семья ̆ связать представление о их "" детскость "" .";ADP DET NOUN PUNCT VERB NOUN ADP DET PUNCT NOUN PUNCT PUNCT
